bopomofo,bopomofo_non_accent,pinyin,pinyin_non_accent
ㄚ,ㄚ,a,a
ㄚˊ,ㄚ,a2,a
ㄚˋ,ㄚ,a4,a
˙ㄚ,ㄚ,a5,a
ㄞ,ㄞ,ai,ai
ㄞˊ,ㄞ,ai2,ai
ㄞˇ,ㄞ,ai3,ai
ㄞˋ,ㄞ,ai4,ai
ㄢ,ㄢ,an,an
ㄢˊ,ㄢ,an2,an
ㄢˇ,ㄢ,an3,an
ㄢˋ,ㄢ,an4,an
ㄤ,ㄤ,ang,ang
ㄤˊ,ㄤ,ang2,ang
ㄤˇ,ㄤ,ang3,ang
ㄤˋ,ㄤ,ang4,ang
ㄠ,ㄠ,ao,ao
ㄠˊ,ㄠ,ao2,ao
ㄠˇ,ㄠ,ao3,ao
ㄠˋ,ㄠ,ao4,ao
ㄅㄚ,ㄅㄚ,ba,ba
ㄅㄚˊ,ㄅㄚ,ba2,ba
ㄅㄚˇ,ㄅㄚ,ba3,ba
ㄅㄚˋ,ㄅㄚ,ba4,ba
˙ㄅㄚ,ㄅㄚ,ba5,ba
ㄅㄞ,ㄅㄞ,bai,bai
ㄅㄞˊ,ㄅㄞ,bai2,bai
ㄅㄞˇ,ㄅㄞ,bai3,bai
ㄅㄞˋ,ㄅㄞ,bai4,bai
˙ㄅㄞ,ㄅㄞ,bai5,bai
ㄅㄢ,ㄅㄢ,ban,ban
ㄅㄢˇ,ㄅㄢ,ban3,ban
ㄅㄢˋ,ㄅㄢ,ban4,ban
ㄅㄤ,ㄅㄤ,bang,bang
ㄅㄤˇ,ㄅㄤ,bang3,bang
ㄅㄤˋ,ㄅㄤ,bang4,bang
ㄅㄠ,ㄅㄠ,bao,bao
ㄅㄠˊ,ㄅㄠ,bao2,bao
ㄅㄠˇ,ㄅㄠ,bao3,bao
ㄅㄠˋ,ㄅㄠ,bao4,bao
ㄅㄟ,ㄅㄟ,bei,bei
ㄅㄟˇ,ㄅㄟ,bei3,bei
ㄅㄟˋ,ㄅㄟ,bei4,bei
˙ㄅㄟ,ㄅㄟ,bei5,bei
ㄅㄣ,ㄅㄣ,ben,ben
ㄅㄣˇ,ㄅㄣ,ben3,ben
ㄅㄣˋ,ㄅㄣ,ben4,ben
ㄅㄥ,ㄅㄥ,beng,beng
ㄅㄥˊ,ㄅㄥ,beng2,beng
ㄅㄥˇ,ㄅㄥ,beng3,beng
ㄅㄥˋ,ㄅㄥ,beng4,beng
ㄅㄧ,ㄅㄧ,bi,bi
ㄅㄧˊ,ㄅㄧ,bi2,bi
ㄅㄧˇ,ㄅㄧ,bi3,bi
ㄅㄧˋ,ㄅㄧ,bi4,bi
ㄅㄧㄢ,ㄅㄧㄢ,bian,bian
ㄅㄧㄢˊ,ㄅㄧㄢ,bian2,bian
ㄅㄧㄢˇ,ㄅㄧㄢ,bian3,bian
ㄅㄧㄢˋ,ㄅㄧㄢ,bian4,bian
ㄅㄧㄠ,ㄅㄧㄠ,biao,biao
ㄅㄧㄠˇ,ㄅㄧㄠ,biao3,biao
ㄅㄧㄠˋ,ㄅㄧㄠ,biao4,biao
ㄅㄧㄝ,ㄅㄧㄝ,bie,bie
ㄅㄧㄝˊ,ㄅㄧㄝ,bie2,bie
ㄅㄧㄝˇ,ㄅㄧㄝ,bie3,bie
ㄅㄧㄝˋ,ㄅㄧㄝ,bie4,bie
ㄅㄧㄣ,ㄅㄧㄣ,bin,bin
ㄅㄧㄣˇ,ㄅㄧㄣ,bin3,bin
ㄅㄧㄣˋ,ㄅㄧㄣ,bin4,bin
ㄅㄧㄥ,ㄅㄧㄥ,bing,bing
ㄅㄧㄥˇ,ㄅㄧㄥ,bing3,bing
ㄅㄧㄥˋ,ㄅㄧㄥ,bing4,bing
ㄅㄛ,ㄅㄛ,bo,bo
ㄅㄛˊ,ㄅㄛ,bo2,bo
ㄅㄛˇ,ㄅㄛ,bo3,bo
ㄅㄛˋ,ㄅㄛ,bo4,bo
˙ㄅㄛ,ㄅㄛ,bo5,bo
