data_amount,learning_rate,num_filters,dense_unit,batch_size,epochs,accuracy
59837,0.001,32,256,32,250,0.6040273904800415
59837,0.001,32,256,32,500,0.6067847609519958
59837,0.001,32,256,64,250,0.5985127091407776
59837,0.001,32,256,64,500,0.6030247211456299
59837,0.001,32,256,128,250,0.5994318127632141
59837,0.001,32,256,128,500,0.6045287251472473
59837,0.001,32,512,32,250,0.6035260558128357
59837,0.001,32,512,32,500,0.6056985259056091
59837,0.001,32,512,64,250,0.5996825098991394
59837,0.001,32,512,64,500,0.6080381274223328
59837,0.001,32,512,128,250,0.6073696613311768
59837,0.001,32,512,128,500,0.6059492230415344
59837,0.001,64,256,32,250,0.6144719123840332
59837,0.001,64,256,32,500,0.6138870120048523
59837,0.001,64,256,64,250,0.6092078685760498
59837,0.001,64,256,64,500,0.6150568127632141
59837,0.001,64,256,128,250,0.610043466091156
59837,0.001,64,256,128,500,0.6126337051391602
59837,0.001,64,512,32,250,0.6088736653327942
59837,0.001,64,512,32,500,0.6111297011375427
59837,0.001,64,512,64,250,0.6101270318031311
59837,0.001,64,512,64,500,0.6090407967567444
59837,0.001,64,512,128,250,0.6123830080032349
59837,0.001,64,512,128,500,0.6167279481887817
59837,0.001,128,256,32,250,0.6157252788543701
59837,0.001,128,256,32,500,0.6214070916175842
59837,0.001,128,256,64,250,0.6137199401855469
59837,0.001,128,256,64,500,0.6179812550544739
59837,0.001,128,256,128,250,0.6103776693344116
59837,0.001,128,256,128,500,0.6222426295280457
59837,0.001,128,512,32,250,0.611881673336029
59837,0.001,128,512,32,500,0.6188168525695801
59837,0.001,128,512,64,250,0.6150568127632141
59837,0.001,128,512,64,500,0.6221590638160706
59837,0.001,128,512,128,250,0.615641713142395
59837,0.001,128,512,128,500,0.6228275299072266
59837,0.0001,32,256,32,250,0.5909926295280457
59837,0.0001,32,256,32,500,0.59375
59837,0.0001,32,256,64,250,0.5811330080032349
59837,0.0001,32,256,64,500,0.5894050598144531
59837,0.0001,32,256,128,250,0.5893215537071228
59837,0.0001,32,256,128,500,0.5928308963775635
59837,0.0001,32,512,32,250,0.5934993028640747
59837,0.0001,32,512,32,500,0.5991811752319336
59837,0.0001,32,512,64,250,0.5884859561920166
59837,0.0001,32,512,64,500,0.5914103984832764
59837,0.0001,32,512,128,250,0.5924966335296631
59837,0.0001,32,512,128,500,0.5949198007583618
59837,0.0001,64,256,32,250,0.6077874302864075
59837,0.0001,64,256,32,500,0.6122994422912598
59837,0.0001,64,256,64,250,0.6023562550544739
59837,0.0001,64,256,64,500,0.606868326663971
59837,0.0001,64,256,128,250,0.6153075098991394
59837,0.0001,64,256,128,500,0.6162266135215759
59837,0.0001,64,512,32,250,0.6102941036224365
59837,0.0001,64,512,32,500,0.6159759163856506
59837,0.0001,64,512,64,250,0.6108790040016174
59837,0.0001,64,512,64,500,0.6122159361839294
59837,0.0001,64,512,128,250,0.618733286857605
59837,0.0001,64,512,128,500,0.6191510558128357
59837,0.0001,128,256,32,250,0.6189004182815552
59837,0.0001,128,256,32,500,0.6208221912384033
59837,0.0001,128,256,64,250,0.6168950796127319
59837,0.0001,128,256,64,500,0.618733286857605
59837,0.0001,128,256,128,250,0.6331884860992432
59837,0.0001,128,256,128,500,0.6295120120048523
59837,0.0001,128,512,32,250,0.6191510558128357
59837,0.0001,128,512,32,500,0.6232452988624573
59837,0.0001,128,512,64,250,0.6163937449455261
59837,0.0001,128,512,64,500,0.6199030876159668
59837,0.0001,128,512,128,250,0.6395387649536133
59837,0.0001,128,512,128,500,0.6321022510528564
59837,1e-05,32,256,32,250,0.5660093426704407
59837,1e-05,32,256,32,500,0.5588235259056091
59837,1e-05,32,256,64,250,0.5624164342880249
59837,1e-05,32,256,64,500,0.5580715537071228
59837,1e-05,32,256,128,250,0.5585728883743286
59837,1e-05,32,256,128,500,0.5568181872367859
59837,1e-05,32,512,32,250,0.5700200796127319
59837,1e-05,32,512,32,500,0.5715240836143494
59837,1e-05,32,512,64,250,0.5667613744735718
59837,1e-05,32,512,64,500,0.5656751394271851
59837,1e-05,32,512,128,250,0.5710227489471436
59837,1e-05,32,512,128,500,0.563168466091156
59837,1e-05,64,256,32,250,0.578793466091156
59837,1e-05,64,256,32,500,0.5864806175231934
59837,1e-05,64,256,64,250,0.5731951594352722
59837,1e-05,64,256,64,500,0.5728609561920166
59837,1e-05,64,256,128,250,0.5659257769584656
59837,1e-05,64,256,128,500,0.5642547011375427
59837,1e-05,64,512,32,250,0.5888201594352722
59837,1e-05,64,512,32,500,0.5929979681968689
59837,1e-05,64,512,64,250,0.5816343426704407
59837,1e-05,64,512,64,500,0.5863970518112183
59837,1e-05,64,512,128,250,0.5717747211456299
59837,1e-05,64,512,128,500,0.5758689641952515
59837,1e-05,128,256,32,250,0.6003509163856506
59837,1e-05,128,256,32,500,0.603776752948761
59837,1e-05,128,256,64,250,0.5936664342880249
59837,1e-05,128,256,64,500,0.6026069521903992
59837,1e-05,128,256,128,250,0.5833890438079834
59837,1e-05,128,256,128,500,0.5911597609519958
59837,1e-05,128,512,32,250,0.6066176295280457
59837,1e-05,128,512,32,500,0.6091243028640747
59837,1e-05,128,512,64,250,0.6028576493263245
