data_amount,learning_rate,num_filters,dense_unit,batch_size,epochs,accuracy
66852,0.001,32,256,32,250,0.8534141182899475
66852,0.001,32,256,32,500,0.855807363986969
66852,0.001,32,256,64,250,0.8552090525627136
66852,0.001,32,256,64,500,0.8583501577377319
66852,0.001,32,256,128,250,0.8534889221191406
66852,0.001,32,256,128,500,0.8555082082748413
66852,0.001,32,512,32,250,0.855807363986969
66852,0.001,32,512,32,500,0.855283796787262
66852,0.001,32,512,64,250,0.8559569120407104
66852,0.001,32,512,64,500,0.8564804196357727
66852,0.001,32,512,128,250,0.8526661992073059
66852,0.001,32,512,128,500,0.8617904186248779
66852,0.001,64,256,32,250,0.8611173629760742
66852,0.001,64,256,32,500,0.8627626895904541
66852,0.001,64,256,64,250,0.8630618453025818
66852,0.001,64,256,64,500,0.8650811314582825
66852,0.001,64,256,128,250,0.8633610010147095
66852,0.001,64,256,128,500,0.8664273619651794
66852,0.001,64,512,32,250,0.8647072315216064
66852,0.001,64,512,32,500,0.8653802871704102
66852,0.001,64,512,64,250,0.8650811314582825
66852,0.001,64,512,64,500,0.8631366491317749
66852,0.001,64,512,128,250,0.8635106086730957
66852,0.001,64,512,128,500,0.8623887300491333
66852,0.001,128,256,32,250,0.8676987290382385
66852,0.001,128,256,32,500,0.8682970404624939
66852,0.001,128,256,64,250,0.8671752214431763
66852,0.001,128,256,64,500,0.8669508695602417
66852,0.001,128,256,128,250,0.8669508695602417
66852,0.001,128,256,128,500,0.8689701557159424
66852,0.001,128,512,32,250,0.8677735328674316
66852,0.001,128,512,32,500,0.8702415823936462
66852,0.001,128,512,64,250,0.8662029504776001
66852,0.001,128,512,64,500,0.868371844291687
66852,0.001,128,512,128,250,0.8653802871704102
66852,0.001,128,512,128,500,0.8675491809844971
66852,0.0001,32,256,32,250,0.8476553559303284
66852,0.0001,32,256,32,500,0.8508712649345398
66852,0.0001,32,256,64,250,0.8472066521644592
66852,0.0001,32,256,64,500,0.8488519787788391
66852,0.0001,32,256,128,250,0.8366614580154419
66852,0.0001,32,256,128,500,0.8445890545845032
66852,0.0001,32,512,32,250,0.8514695763587952
66852,0.0001,32,512,32,500,0.8537880778312683
66852,0.0001,32,512,64,250,0.8481789231300354
66852,0.0001,32,512,64,500,0.8488519787788391
66852,0.0001,32,512,128,250,0.8408495783805847
66852,0.0001,32,512,128,500,0.8471318483352661
66852,0.0001,64,256,32,250,0.8625383377075195
66852,0.0001,64,256,32,500,0.8638845086097717
66852,0.0001,64,256,64,250,0.8593224287033081
66852,0.0001,64,256,64,500,0.8647072315216064
66852,0.0001,64,256,128,250,0.8573031425476074
66852,0.0001,64,256,128,500,0.863585352897644
66852,0.0001,64,512,32,250,0.8650811314582825
66852,0.0001,64,512,32,500,0.8655298948287964
66852,0.0001,64,512,64,250,0.8602946400642395
66852,0.0001,64,512,64,500,0.8671004176139832
66852,0.0001,64,512,128,250,0.8625383377075195
66852,0.0001,64,512,128,500,0.8633610010147095
66852,0.0001,128,256,32,250,0.8676239848136902
66852,0.0001,128,256,32,500,0.8738314509391785
66852,0.0001,128,256,64,250,0.8697928190231323
66852,0.0001,128,256,64,500,0.8702415823936462
66852,0.0001,128,256,128,250,0.8719617128372192
66852,0.0001,128,256,128,500,0.8727095723152161
66852,0.0001,128,512,32,250,0.8706902861595154
66852,0.0001,128,512,32,500,0.8707650899887085
66852,0.0001,128,512,64,250,0.8697928190231323
66852,0.0001,128,512,64,500,0.8716625571250916
66852,0.0001,128,512,128,250,0.8700172305107117
66852,0.0001,128,512,128,500,0.8732331395149231
66852,1e-05,32,256,32,250,0.8112332820892334
66852,1e-05,32,256,32,500,0.8107845187187195
66852,1e-05,32,256,64,250,0.8036048412322998
66852,1e-05,32,256,64,500,0.8068954944610596
66852,1e-05,32,256,128,250,0.7850571870803833
66852,1e-05,32,256,128,500,0.7980704307556152
66852,1e-05,32,512,32,250,0.8111584782600403
66852,1e-05,32,512,32,500,0.8199087381362915
66852,1e-05,32,512,64,250,0.8030065298080444
66852,1e-05,32,512,64,500,0.8051006197929382
66852,1e-05,32,512,128,250,0.7906663417816162
66852,1e-05,32,512,128,500,0.7964251041412354
66852,1e-05,64,256,32,250,0.8340438008308411
66852,1e-05,64,256,32,500,0.8409243822097778
66852,1e-05,64,256,64,250,0.8234238028526306
66852,1e-05,64,256,64,500,0.8309026956558228
66852,1e-05,64,256,128,250,0.8113828301429749
66852,1e-05,64,256,128,500,0.8284346461296082
66852,1e-05,64,512,32,250,0.8340438008308411
66852,1e-05,64,512,32,500,0.8415226936340332
66852,1e-05,64,512,64,250,0.8256675004959106
66852,1e-05,64,512,64,500,0.8290329575538635
66852,1e-05,64,512,128,250,0.8153466582298279
66852,1e-05,64,512,128,500,0.8233490586280823
66852,1e-05,128,256,32,250,0.8613417148590088
66852,1e-05,128,256,32,500,0.8606685996055603
66852,1e-05,128,256,64,250,0.8516939878463745
66852,1e-05,128,256,64,500,0.857527494430542
66852,1e-05,128,256,128,250,0.8472066521644592
66852,1e-05,128,256,128,500,0.8507217168807983
66852,1e-05,128,512,32,250,0.8594719767570496
66852,1e-05,128,512,32,500,0.8645576238632202
66852,1e-05,128,512,64,250,0.8523670434951782
66852,1e-05,128,512,64,500,0.8585745096206665
66852,1e-05,128,512,128,250,0.8439907431602478
66852,1e-05,128,512,128,500,0.8513200283050537
