data_amount,learning_rate,num_filters,dense_unit,batch_size,epochs,accuracy
844,0.001,32,256,32,250,0.7218934893608093
844,0.001,32,256,32,500,0.692307710647583
844,0.001,32,256,64,250,0.6863905191421509
844,0.001,32,256,64,500,0.7100591659545898
844,0.001,32,256,128,250,0.7218934893608093
844,0.001,32,256,128,500,0.7041420340538025
844,0.001,32,512,32,250,0.7218934893608093
844,0.001,32,512,32,500,0.7278106212615967
844,0.001,32,512,64,250,0.7041420340538025
844,0.001,32,512,64,500,0.715976357460022
844,0.001,32,512,128,250,0.715976357460022
844,0.001,32,512,128,500,0.692307710647583
844,0.001,64,256,32,250,0.7455621361732483
844,0.001,64,256,32,500,0.715976357460022
844,0.001,64,256,64,250,0.7041420340538025
844,0.001,64,256,64,500,0.715976357460022
844,0.001,64,256,128,250,0.7218934893608093
844,0.001,64,256,128,500,0.7100591659545898
844,0.001,64,512,32,250,0.7278106212615967
844,0.001,64,512,32,500,0.7100591659545898
844,0.001,64,512,64,250,0.692307710647583
844,0.001,64,512,64,500,0.7100591659545898
844,0.001,64,512,128,250,0.6863905191421509
844,0.001,64,512,128,500,0.692307710647583
844,0.001,128,256,32,250,0.6982248425483704
844,0.001,128,256,32,500,0.692307710647583
844,0.001,128,256,64,250,0.6863905191421509
844,0.001,128,256,64,500,0.7218934893608093
844,0.001,128,256,128,250,0.6982248425483704
844,0.001,128,256,128,500,0.7041420340538025
844,0.001,128,512,32,250,0.7278106212615967
844,0.001,128,512,32,500,0.7218934893608093
844,0.001,128,512,64,250,0.7100591659545898
844,0.001,128,512,64,500,0.715976357460022
844,0.001,128,512,128,250,0.7278106212615967
844,0.001,128,512,128,500,0.7041420340538025
844,0.0001,32,256,32,250,0.6982248425483704
844,0.0001,32,256,32,500,0.7100591659545898
844,0.0001,32,256,64,250,0.7041420340538025
844,0.0001,32,256,64,500,0.6863905191421509
844,0.0001,32,256,128,250,0.7218934893608093
844,0.0001,32,256,128,500,0.715976357460022
844,0.0001,32,512,32,250,0.7218934893608093
844,0.0001,32,512,32,500,0.7278106212615967
844,0.0001,32,512,64,250,0.6982248425483704
844,0.0001,32,512,64,500,0.7100591659545898
844,0.0001,32,512,128,250,0.7218934893608093
844,0.0001,32,512,128,500,0.715976357460022
844,0.0001,64,256,32,250,0.7041420340538025
844,0.0001,64,256,32,500,0.7337278127670288
844,0.0001,64,256,64,250,0.7337278127670288
844,0.0001,64,256,64,500,0.7100591659545898
844,0.0001,64,256,128,250,0.692307710647583
844,0.0001,64,256,128,500,0.7100591659545898
844,0.0001,64,512,32,250,0.7041420340538025
844,0.0001,64,512,32,500,0.7100591659545898
844,0.0001,64,512,64,250,0.7041420340538025
844,0.0001,64,512,64,500,0.7100591659545898
844,0.0001,64,512,128,250,0.7100591659545898
844,0.0001,64,512,128,500,0.7100591659545898
844,0.0001,128,256,32,250,0.715976357460022
844,0.0001,128,256,32,500,0.715976357460022
844,0.0001,128,256,64,250,0.7100591659545898
844,0.0001,128,256,64,500,0.715976357460022
844,0.0001,128,256,128,250,0.7041420340538025
844,0.0001,128,256,128,500,0.7100591659545898
844,0.0001,128,512,32,250,0.7100591659545898
844,0.0001,128,512,32,500,0.7041420340538025
844,0.0001,128,512,64,250,0.7100591659545898
844,0.0001,128,512,64,500,0.7100591659545898
844,0.0001,128,512,128,250,0.715976357460022
844,0.0001,128,512,128,500,0.715976357460022
844,1e-05,32,256,32,250,0.6331360936164856
844,1e-05,32,256,32,500,0.692307710647583
844,1e-05,32,256,64,250,0.692307710647583
844,1e-05,32,256,64,500,0.6745561957359314
844,1e-05,32,256,128,250,0.5857987999916077
844,1e-05,32,256,128,500,0.692307710647583
844,1e-05,32,512,32,250,0.6508875489234924
844,1e-05,32,512,32,500,0.6982248425483704
844,1e-05,32,512,64,250,0.7041420340538025
844,1e-05,32,512,64,500,0.6982248425483704
844,1e-05,32,512,128,250,0.715976357460022
844,1e-05,32,512,128,500,0.6863905191421509
844,1e-05,64,256,32,250,0.7100591659545898
844,1e-05,64,256,32,500,0.6804733872413635
844,1e-05,64,256,64,250,0.715976357460022
844,1e-05,64,256,64,500,0.7041420340538025
844,1e-05,64,256,128,250,0.6568047404289246
844,1e-05,64,256,128,500,0.6863905191421509
844,1e-05,64,512,32,250,0.6863905191421509
844,1e-05,64,512,32,500,0.692307710647583
844,1e-05,64,512,64,250,0.7041420340538025
844,1e-05,64,512,64,500,0.7218934893608093
844,1e-05,64,512,128,250,0.715976357460022
844,1e-05,64,512,128,500,0.692307710647583
844,1e-05,128,256,32,250,0.7218934893608093
844,1e-05,128,256,32,500,0.7100591659545898
844,1e-05,128,256,64,250,0.6863905191421509
844,1e-05,128,256,64,500,0.6745561957359314
844,1e-05,128,256,128,250,0.6982248425483704
844,1e-05,128,256,128,500,0.7100591659545898
844,1e-05,128,512,32,250,0.715976357460022
844,1e-05,128,512,32,500,0.7337278127670288
844,1e-05,128,512,64,250,0.7278106212615967
844,1e-05,128,512,64,500,0.6982248425483704
844,1e-05,128,512,128,250,0.7100591659545898
844,1e-05,128,512,128,500,0.7218934893608093
