韻符↓  聲符→,韻符↓  聲符→.1,ㄅ  b,ㄆ  p,ㄇ  m,ㄈ  f,ㄉ  d,ㄊ  t,ㄋ  n,ㄌ  l,ㄍ  g,ㄎ  k,ㄏ  h,ㄐ  j,ㄑ  q,ㄒ  x,ㄓ  zh,ㄔ  ch,ㄕ  sh,ㄖ  r,ㄗ  z,ㄘ  c,ㄙ  s,Unnamed: 23
ㄭ  -i,[ʅ]  [ɿ],,,,,,,,,,,,,,,ㄓ  (支)  zhi  jhih  chih,ㄔ  (吃)  chi  chih  ch'ih,ㄕ  (師)  shi  shih  shih,ㄖ  (日)  ri  rih  jih,ㄗ  (資)  zi  zih  tzu,ㄘ  (詞)  ci  cih  tz'u,ㄙ  (思)  si  sih  szu/ssu,
ㄚ  a,ㄚ  (阿)  a,ㄅㄚ  (八)  ba  pa,ㄆㄚ  (怕)  pa  p'a,ㄇㄚ  (媽)  ma,ㄈㄚ  (發)  fa,ㄉㄚ  (大)  da  ta,ㄊㄚ  (她)  ta  t'a,ㄋㄚ  (那)  na,ㄌㄚ  (拉)  la,ㄍㄚ  (伽)  ga  ka,ㄎㄚ  (卡)  ka  k'a,ㄏㄚ  (哈)  ha,,,,ㄓㄚ  (詐)  zha  jha  cha,ㄔㄚ  (差)  cha  ch'a,ㄕㄚ  (沙)  sha,,ㄗㄚ  (雜)  za  tsa,ㄘㄚ  (擦)  ca  ts'a,ㄙㄚ  (灑)  sa,開  口  呼
ㄛ  o,ㄛ  (喔)  o,ㄅㄛ  (波)  bo  po,ㄆㄛ  (坡)  po  p'o,ㄇㄛ  (摸)  mo,ㄈㄛ  (佛)  fo,,,,,,,,,,,,,,,,,,開  口  呼
ㄜ  e,ㄜ  (鵝)  e,,,ㄇㄜ  (麼)  me,,ㄉㄜ  (德)  de  te,ㄊㄜ  (特)  te  t'e,ㄋㄜ  (呢)  ne,ㄌㄜ  (樂)  le,ㄍㄜ  (哥)  ge  ko,ㄎㄜ  (科)  ke  k'o,ㄏㄜ  (喝)  he  ho,,,,ㄓㄜ  (遮)  zhe  jhe  che,ㄔㄜ  (車)  che  ch'e,ㄕㄜ  (賒)  she,ㄖㄜ  (熱)  re  je,ㄗㄜ  (則)  ze  tse,ㄘㄜ  (冊)  ce  ts'e,ㄙㄜ  (色)  se,開  口  呼
ㄝ  ê,ㄝ  (誒)  ê,,,,,,,,,,,,,,,,,,,,,,開  口  呼
ㄞ  ai,ㄞ  (哀)  ai,ㄅㄞ  (百)  bai  pai,ㄆㄞ  (拍)  pai  p'ai,ㄇㄞ  (麥)  mai,,ㄉㄞ  (呆)  dai  tai,ㄊㄞ  (胎)  tai  t'ai,ㄋㄞ  (奶)  nai,ㄌㄞ  (來)  lai,ㄍㄞ  (該)  gai  kai,ㄎㄞ  (開)  kai  k'ai,ㄏㄞ  (海)  hai,,,,ㄓㄞ  (宅)  zhai  jhai  chai,ㄔㄞ  (拆)  chai  ch'ai,ㄕㄞ  (篩)  shai,,ㄗㄞ  (栽)  zai  tsai,ㄘㄞ  (猜)  cai  ts'ai,ㄙㄞ  (賽)  sai,開  口  呼
ㄟ  ei,ㄟ  (欸)  ei,ㄅㄟ  (悲)  bei  pei,ㄆㄟ  (胚)  pei  p'ei,ㄇㄟ  (眉)  mei,ㄈㄟ  (非)  fei,ㄉㄟ  (得)  dei  tei,,ㄋㄟ  (內)  nei,ㄌㄟ  (雷)  lei,ㄍㄟ  (給)  gei  kei,,ㄏㄟ  (黑)  hei,,,,ㄓㄟ  (這)  zhei  jhei  chei,,ㄕㄟ  (誰)  shei,,ㄗㄟ  (賊)  zei  tsei,,,開  口  呼
ㄠ  ao,ㄠ  (凹)  ao,ㄅㄠ  (包)  bao  pao,ㄆㄠ  (砲)  pao  p'ao,ㄇㄠ  (毛)  mao,,ㄉㄠ  (刀)  dao  tao,ㄊㄠ  (濤)  tao  t'ao,ㄋㄠ  (腦)  nao,ㄌㄠ  (撈)  lao,ㄍㄠ  (高)  gao  kao,ㄎㄠ  (考)  kao  k'ao,ㄏㄠ  (浩)  hao,,,,ㄓㄠ  (招)  zhao  jhao  chao,ㄔㄠ  (超)  chao  ch'ao,ㄕㄠ  (燒)  shao,ㄖㄠ  (繞)  rao  jao,ㄗㄠ  (遭)  zao  tsao,ㄘㄠ  (操)  cao  ts'ao,ㄙㄠ  (搔)  sao,開  口  呼
ㄡ  ou,ㄡ  (歐)  ou,,ㄆㄡ  (剖)  pou  p'ou,ㄇㄡ  (某)  mou,ㄈㄡ  (否)  fou,ㄉㄡ  (鬥)  dou  tou,ㄊㄡ  (偷)  tou  t'ou,ㄋㄡ  (耨)  nou,ㄌㄡ  (樓)  lou,ㄍㄡ  (勾)  gou  kou,ㄎㄡ  (口)  kou  k'ou,ㄏㄡ  (後)  hou,,,,ㄓㄡ  (周)  zhou  jhou  chou,ㄔㄡ  (抽)  chou  ch'ou,ㄕㄡ  (收)  shou,ㄖㄡ  (柔)  rou  jou,ㄗㄡ  (走)  zou  tsou,ㄘㄡ  (湊)  cou  ts'ou,ㄙㄡ  (搜)  sou,開  口  呼
ㄢ  an,ㄢ  (安)  an,ㄅㄢ  (班)  ban  pan,ㄆㄢ  (盤)  pan  p'an,ㄇㄢ  (滿)  man,ㄈㄢ  (凡)  fan,ㄉㄢ  (丹)  dan  tan,ㄊㄢ  (貪)  tan  t'an,ㄋㄢ  (南)  nan,ㄌㄢ  (藍)  lan,ㄍㄢ  (干)  gan  kan,ㄎㄢ  (刊)  kan  k'an,ㄏㄢ  (含)  han,,,,ㄓㄢ  (占)  zhan  jhan  chan,ㄔㄢ  (產)  chan  ch'an,ㄕㄢ  (山)  shan,ㄖㄢ  (然)  ran  jan,ㄗㄢ  (讚)  zan  tsan,ㄘㄢ  (參)  can  ts'an,ㄙㄢ  (三)  san,開  口  呼
ㄣ  en,ㄣ  (恩)  en,ㄅㄣ  (奔)  ben  pen,ㄆㄣ  (噴)  pen  p'en,ㄇㄣ  (門)  men,ㄈㄣ  (分)  fen,,,ㄋㄣ  (嫩)  nen,,ㄍㄣ  (根)  gen  ken,ㄎㄣ  (肯)  ken  k'en,ㄏㄣ  (痕)  hen,,,,ㄓㄣ  (真)  zhen  jhen  chen,ㄔㄣ  (塵)  chen  ch'en,ㄕㄣ  (身)  shen,ㄖㄣ  (人)  ren  jen,ㄗㄣ  (怎)  zen  tsen,ㄘㄣ  (岑)  cen  ts'en,ㄙㄣ  (森)  sen,開  口  呼
ㄤ  ang,ㄤ  (骯)  ang,ㄅㄤ  (幫)  bang  pang,ㄆㄤ  (旁)  pang  p'ang,ㄇㄤ  (忙)  mang,ㄈㄤ  (方)  fang,ㄉㄤ  (當)  dang  tang,ㄊㄤ  (湯)  tang  t'ang,ㄋㄤ  (囊)  nang,ㄌㄤ  (朗)  lang,ㄍㄤ  (剛)  gang  kang,ㄎㄤ  (康)  kang  k'ang,ㄏㄤ  (航)  hang,,,,ㄓㄤ  (張)  zhang  jhang  chang,ㄔㄤ  (昌)  chang  ch'ang,ㄕㄤ  (傷)  shang,ㄖㄤ  (讓)  rang  jang,ㄗㄤ  (髒)  zang  tsang,ㄘㄤ  (倉)  cang  ts'ang,ㄙㄤ  (桑)  sang,開  口  呼
ㄥ  eng,ㄥ  (鞥)  eng,ㄅㄥ  (崩)  beng  peng,ㄆㄥ  (烹)  peng  p'eng,ㄇㄥ  (蒙)  meng,ㄈㄥ  (風)  feng  fong  feng,ㄉㄥ  (燈)  deng  teng,ㄊㄥ  (藤)  teng  t'eng,ㄋㄥ  (能)  neng,ㄌㄥ  (冷)  leng,ㄍㄥ  (耕)  geng  keng,ㄎㄥ  (坑)  keng  k'eng,ㄏㄥ  (恆)  heng,,,,ㄓㄥ  (正)  zheng  jheng  cheng,ㄔㄥ  (稱)  cheng  ch'eng,ㄕㄥ  (生)  sheng,ㄖㄥ  (扔)  reng  jeng,ㄗㄥ  (增)  zeng  tseng,ㄘㄥ  (層)  ceng  ts'eng,ㄙㄥ  (僧)  seng,開  口  呼
ㄦ  er,ㄦ  (兒)  er  erh,,,,,,,,,,,,,,,,,,,,,,開  口  呼
ㄧ  i  (y),ㄧ  (一)  yi  i,ㄅ一  (逼)  bi  pi,ㄆ一  (批)  pi  p'i,ㄇ一  (米)  mi,,ㄉ一  (地)  di  ti,ㄊ一  (梯)  ti  t'i,ㄋ一  (泥)  ni,ㄌ一  (李)  li,,,,ㄐ一  (機)  ji  chi,ㄑ一  (七)  qi  ci  ch'i,ㄒ一  (西)  xi  si  hsi,,,,,,,,齊  齒  呼
ㄧㄚ  ia,一ㄚ  (鴨)  ya,,,,,,,,ㄌ一ㄚ  (倆)  lia,,,,ㄐ一ㄚ  (家)  jia  chia,ㄑ一ㄚ  (洽)  qia  cia  ch'ia,ㄒ一ㄚ  (蝦)  xia  sia  hsia,,,,,,,,齊  齒  呼
ㄧㄛ  io,一ㄛ  (唷)  yo,,,,,,,,,,,,,,,,,,,,,,齊  齒  呼
ㄧㄝ  ie,一ㄝ  (耶)  ye  yeh,ㄅ一ㄝ  (別)  bie  pieh,ㄆ一ㄝ  (撇)  pie  p'ieh,ㄇ一ㄝ  (滅)  mie  mieh,,ㄉ一ㄝ  (爹)  die  tieh,ㄊ一ㄝ  (貼)  tie  t'ieh,ㄋ一ㄝ  (捏)  nie  nieh,ㄌ一ㄝ  (列)  lie  lieh,,,,ㄐ一ㄝ  (接)  jie  chieh,ㄑ一ㄝ  (切)  qie  cie  ch'ieh,ㄒ一ㄝ  (些)  xie  sie  hsieh,,,,,,,,齊  齒  呼
ㄧㄞ  iai,一ㄞ  (崖)  yai,,,,,,,,,,,,,,,,,,,,,,齊  齒  呼
ㄧㄠ  iao,一ㄠ  (妖)  yao,ㄅ一ㄠ  (標)  biao  piao,ㄆ一ㄠ  (飄)  piao  p'iao,ㄇ一ㄠ  (苗)  miao,,ㄉ一ㄠ  (刁)  diao  tiao,ㄊ一ㄠ  (挑)  tiao  t'iao,ㄋ一ㄠ  (鳥)  niao,ㄌ一ㄠ  (聊)  liao,,,,ㄐ一ㄠ  (交)  jiao  chiao,ㄑ一ㄠ  (悄)  qiao  ciao  ch'iao,ㄒ一ㄠ  (消)  xiao  siao  hsiao,,,,,,,,齊  齒  呼
ㄧㄡ  iou  (iu),一ㄡ  (優)  you  yu,,,ㄇ一ㄡ  (謬)  miu  miou  miu,,ㄉ一ㄡ  (丟)  diu  diou  tiu,,ㄋ一ㄡ  (牛)  niu  niou  niu,ㄌ一ㄡ  (六)  liu  liou  liu,,,,ㄐ一ㄡ  (究)  jiu  jiou  chiu,ㄑ一ㄡ  (秋)  qiu  ciou  ch'iu,ㄒ一ㄡ  (休)  xiu  siou  hsiu,,,,,,,,齊  齒  呼
ㄧㄢ  ian,一ㄢ  (眼)  yan  yen,ㄅ一ㄢ  (邊)  bian  pien,ㄆ一ㄢ  (偏)  pian  p'ien,ㄇ一ㄢ  (棉)  mian  mien,,ㄉ一ㄢ  (店)  dian  tien,ㄊ一ㄢ  (天)  tian  t'ien,ㄋ一ㄢ  (年)  nian  nien,ㄌ一ㄢ  (連)  lian  lien,,,,ㄐ一ㄢ  (建)  jian  chien,ㄑ一ㄢ  (千)  qian  cian  ch'ien,ㄒ一ㄢ  (先)  xian  sian  hsien,,,,,,,,齊  齒  呼
ㄧㄣ  in,一ㄣ  (因)  yin,ㄅ一ㄣ  (彬)  bin  pin,ㄆ一ㄣ  (拼)  pin  p'in,ㄇ一ㄣ  (民)  min,,,,ㄋ一ㄣ  (您)  nin,ㄌ一ㄣ  (林)  lin,,,,ㄐ一ㄣ  (金)  jin  chin,ㄑ一ㄣ  (親)  qin  cin  ch'in,ㄒ一ㄣ  (心)  xin  sin  hsin,,,,,,,,齊  齒  呼
ㄧㄤ  iang,一ㄤ  (央)  yang,,,,,,,ㄋ一ㄤ  (娘)  niang,ㄌ一ㄤ  (良)  liang,,,,ㄐ一ㄤ  (江)  jiang  chiang,ㄑ一ㄤ  (槍)  qiang  ciang  ch'iang,ㄒ一ㄤ  (香)  xiang  siang  hsiang,,,,,,,,齊  齒  呼
ㄧㄥ  ing,一ㄥ  (英)  ying,ㄅ一ㄥ  (冰)  bing  ping,ㄆ一ㄥ  (平)  ping  p'ing,ㄇ一ㄥ  (明)  ming,,ㄉ一ㄥ  (丁)  ding  ting,ㄊ一ㄥ  (聽)  ting  t'ing,ㄋ一ㄥ  (寧)  ning,ㄌ一ㄥ  (令)  ling,,,,ㄐ一ㄥ  (京)  jing  ching,ㄑ一ㄥ  (青)  qing  cing  ch'ing,ㄒ一ㄥ  (星)  xing  sing  hsing,,,,,,,,齊  齒  呼
ㄨ  u  (w),ㄨ  (烏)  wu,ㄅㄨ  (不)  bu  pu,ㄆㄨ  (撲)  pu  p'u,ㄇㄨ  (目)  mu,ㄈㄨ  (夫)  fu,ㄉㄨ  (讀)  du  tu,ㄊㄨ  (突)  tu  t'u,ㄋㄨ  (奴)  nu,ㄌㄨ  (路)  lu,ㄍㄨ  (姑)  gu  ku,ㄎㄨ  (哭)  ku  k'u,ㄏㄨ  (呼)  hu,,,,ㄓㄨ  (朱)  zhu  jhu  chu,ㄔㄨ  (出)  chu  ch'u,ㄕㄨ  (書)  shu,ㄖㄨ  (如)  ru  ju,ㄗㄨ  (租)  zu  tsu,ㄘㄨ  (粗)  cu  ts'u,ㄙㄨ  (蘇)  su,合  口  呼
ㄨㄚ  ua,ㄨㄚ  (蛙)  wɑ,,,,,,,,,ㄍㄨㄚ  (瓜)  gua  kua,ㄎㄨㄚ  (誇)  kua  k'ua,ㄏㄨㄚ  (花)  hua,,,,ㄓㄨㄚ  (抓)  zhua  jhua  chua,ㄔㄨㄚ  (欻)  chua  ch'ua,ㄕㄨㄚ  (刷)  shua,,,,,合  口  呼
